Article Title,Current Category,New Category,Date Published,URL,NEW URL,KILL,REDIRECT,NOINDEX
"Spray it, don’t say it! Artists merge graffiti and animation",Entertainment & Lifestyle,Arts,10/14/2013,http://rethinkisrael.org/spray-it-dont-say-it/,,,,
"No Plates, No Utensils and All Mess",Entertainment & Lifestyle,Food,10/14/2013,http://rethinkisrael.org/no-plates-no-utensils-and-all-mess/,,X,,
A world leader in blindness prevention,"Making A Difference,Noteworthy, Science & Medicine",Health,10/14/2013,http://rethinkisrael.org/a-world-leader-in-blindness-prevention/,,,,
Leaving Their Mark,Entertainment & Lifestyle,Lifestyle,10/14/2013,http://rethinkisrael.org/leaving-their-mark/,,X,,
186 Miles of Sandy Paradise,Entertainment & Lifestyle,Lifestyle,10/14/2013,http://rethinkisrael.org/186-miles-of-sandy-paradise/,,,,
A Safe Haven for Gay Couples,"Entertainment & Lifestyle,Making A Difference",Lifestyle,10/14/2013,http://rethinkisrael.org/a-safe-haven-for-gay-couples/,,,,
Is DogTV the Next Best Thing to a Belly Scratch?,"Entertainment & Lifestyle,Making A Difference,Technology",Lifestyle,10/14/2013,http://rethinkisrael.org/is-dogtv-the-next-best-thing-to-a-belly-scratch/,,,,
Bus Stop Books,"Entertainment & Lifestyle,Noteworthy",Lifestyle,10/14/2013,http://rethinkisrael.org/bus-stop-books/,,,,
Meet Baby Israel,"Entertainment & Lifestyle,Noteworthy",Lifestyle,10/14/2013,http://rethinkisrael.org/meet-baby-israel/,,,,
Hoop Dreams,"Entertainment & Lifestyle,Sports",Lifestyle,10/14/2013,http://rethinkisrael.org/hoop-dreams/,,X,,
8 Hottest Israeli Beaches,Entertainment & Lifestyle,Nature,10/14/2013,http://rethinkisrael.org/8-hottest-israeli-beaches/,,,,
Harnessing Africa’s Sun,"Entertainment & Lifestyle,Making A Difference, Science & Medicine",Innovation,10/14/2013,http://rethinkisrael.org/harnessing-africas-sun/,,,,
"80,000 Square Feet of Awesome","Entertainment & Lifestyle,Noteworthy, Technology",Innovation,10/14/2013,http://rethinkisrael.org/80000-square-feet-of-awesome/,,,,
Unshakable,"Making A Difference,Noteworthy",Innovation,10/14/2013,http://rethinkisrael.org/unshakable/,,,,
Silicon Island,"Noteworthy, Technology",Innovation,10/14/2013,http://rethinkisrael.org/silicon-island/,,X,,
Politician Rallies Rainbow Flags In Tel Aviv,"Entertainment & Lifestyle,Noteworthy",Lifestyle,10/16/2013,http://rethinkisrael.org/politician-rallies-rainbow-flags-in-tel-aviv/,,,,
Animal Lovers Rejoice,"Entertainment & Lifestyle,Making A Difference,Noteworthy",Lifestyle,10/17/2013,http://rethinkisrael.org/animal-lovers-rejoice/,,,,
Israel Starts it Up,"Entertainment & Lifestyle,Noteworthy, Technology",Innovation,10/17/2013,http://rethinkisrael.org/israel-starts-it-up/,israel-startup-haven,,,
"Honey, I Shrunk the Camera","Noteworthy, Science & Medicine",Health,10/22/2013,http://rethinkisrael.org/honey-i-shrunk-the-camera/,,,,
"Free Beach Wi-Fi? Yes, please.","Entertainment & Lifestyle,Technology",Innovation,10/22/2013,http://rethinkisrael.org/free-beach-wi-fi-yes-please/,,,,
BioBee Puts Bugs to Work,"Science & Medicine, Technology",Nature,10/24/2013,http://rethinkisrael.org/biobee-puts-bugs-to-work/,,,,
American NBA Player Hopes to Call Israel Home,"Entertainment & Lifestyle,Noteworthy, Sports",Lifestyle,10/25/2013,http://rethinkisrael.org/american-nba-player-hopes-to-call-israel-home/,,X,,
It’s Always Sunny on the Roof of the Israeli Parliament,"Entertainment & Lifestyle,Science & Medicine, Technology",Innovation,10/29/2013,http://rethinkisrael.org/its-always-sunny-on-the-roof-of-the-israeli-parliament/,,X,http://rethinkisrael.org/home-of-tomorrow/,
